Review
bagus
"Mantap, thanks"
merugikan
sangat bagus
iko
baik
luar biasa
cepat tepat good
best
"Aduuuuhhhhh kasihan ya bapak bapak Driver, ongkir dari saya nya 23.500 keterima sama drivernya 13.600, mana jauh lagi jaraknya. gak nyangka bakal SE tega ini Aplikasi grab."
"coba grab ada pitur pembatalan pesanan donk, saya pesanan makanan satu jam gk masuk pesan lg di resto lain eehh yg satu masuk mana gk bisa di batalin semuanya, minimal cantumin no resto nya biar ketika kita mau batalin bisa d chat jadi gk merugikan sebelah pihak"
iya
Pokoknya mantap lah
sangat baik
"kamu tau? saya keluarga The Micladson Anthure Kaisyinda Family (American-Europe-Indonesia Family) (Merger:13 January 2026),Bukan keluarga Grab."
mantap keren
Pesanan nya tepat wkt
aplikasi bagus tp msh bnyak driver yg ga bagus
"lama ,ku hps aja aplikasi ya"
good
ok
padahal di jakarta tapi gak ad yang terima orderan sama sekalai
buruk sekali
terlalu mahal
tambah larang cari pengemudi sulit
kenapa aplikasinya gabisa terbuka? udah smpe unnistal trs di instal lgi ttp aja gabisa kebuka. gmn ini?? aplikasi gajelass
puas
"andalan sekali pake grab, kebutuhan apapun bisaaa 🥰🥰"
bagus
mantap
"saya bayar pake uang tunai, tapi di bank ketarik terus padahal jelas jelas uang tunai (bayar di tempat). aneh banget, rugi terus kalo gitu. udah ongkir nya agak mahal sama ke kuras 7.500 di bank."
oke
"pelayanannya ramah, ruangan ber ac wangi."
tepat waktu
"tolong iklan nya dihilangin, terutama saat iklan muncul setelah konfirmasi mau order grab, jujur ini sangat menggangu customer."
sangat bagus pelayanan sangat baguss
lama bngttt g cukakkkkkkk
sangat membantu semua masalah transportasi dan kebutuhan hidup orang banyak..
"apk gj,driver peritungan,cari driver lama.maunya kalo mahal"
bagus
sangat buruk. mau ubah pesanan gak bisa. padahal belum juga diproses sama mercen.
"CS susah dihubungi. Jika costumer ada keluhan, yang balas pasti Chatbot, bukan costumer service. Kecewa sih dengan hal ini."
"Tambahin QRIS Tap dong, biar nggak repot ngescan barcode apalagi pas siang hari malah susah fokus kameranya"
"biaya pesanan terlalu tinggi, dibebankan ke customer"
"sistem promo mending hapus aja tuh buat anter jemput, di batalin terus kalo mesen"
grab food tlg di evaluasi pengantarannya yah.. ini utk org yg berbuka puasa loh.. order dr jam 4 sore.. diundur2 ampe beberapa kali sd jam 19.. keterlaluan lamanya.. mohon perhatiannya yah..tq
baik sangat membantu
driver pada anyi anyi dan sok pintar semua
ok
Alamat sesuai tapi pas di cek titik loaksinya sering slah jadi kasian driver coba kalau bikin apk grab map di perhatikan kan kaya gini lama juga jadi saya nunggu nya 👿👿👿
"risih dengan fitur foto oleh driver ketika menerima pesanan, jadi malas pesan lagi. mending pindah ke yang lain."
oke
abang grabnya cepet
"hujan dikit gak ada driver yang mau ambil ,, mending tutup aja Grab sama gojek"
susah bnget dapet driver klo lgi mendung mnding pindah ke aplikasi sebelah ga work bnget
udah 3 jam nunggu ngk ada yg ambil pesanan
"kirim paket instant dapat kurir nya kayak mau kiamat gak dapat"", sekalinya dapat di cancel driver..... hadeuh. padahal udah bayar paling mahal, masih aja gitu, di jakarta loh ini...... 1 jakarta mati semua apa gimana driver?"
sistem nya diperbaiki
membantu
"sangat butuh perbaikan, sering kali match dengan driver yang jauh, dan kita selalu customer yang disuruh cancel, akibatnya customer makin lama dapat penumpang. hapus saja fitur hemat kalau memang kenyataannya customer sulit dapat driver kalau pakai pilihan ini."
"aku kalo males ke lokasi tempat belinya aku beli di grabfood soalny pengiriman cepat dan hemat juga, the best dehhh"
"sebarkan grab di plosok Plosok juga, jangan daerah kota saja"
Bajuz...tingkatkan lagi Min
Hapus fitur verifikasi wajah dan nomor debit.
ok
ga bisa di gunakan
pengemudi sangat baik
baik
orderan tak lengkap
"udh lama pke apk ini, gak ada kmajuan, susah untuk cancel pesanan klo dah nunggu lama, satny ganti ke sebelah, uninstal., 👎🏿"
bagus aplikasi ini membantu semua orng
bagus pelayanan ramah banget.
baik dan murah sekali 🙏
bagus
thank you so much 🥰
sumpah deh . nunggu dari stengah 12 sampe jam stengah 2 tiba tiba pesanan di batalkan! kalau emang gamau antar dari awal sekalian gausah di terima orderannya .
"min dimana pesanan terjadwal nya, mohon perbaiki karena susah ditemukan di layar beranda aplikasi"
"kalo ga becus buat platform gak usah maksa buat kecewa banget pesen food 2 jam nggak di kirim"", gak pesen food gak bike sama lama semuanya, mendingan pindah aplikasi ijo sebelah aja"
bagus sekali
bagus
sama driver di tolak terus
"driver ga jelas titik gajelas, dikasih driver di ujung dunia"
"grab bgo, nolak rezeki trus ga berguna apk nya, pakai promo hg ditolak tolak"
"Mantap Grab, ayo buat lagi promo menarik supaya makin banyak yg pakai Grab.!!!"
tos gandos
pake grab prioritas bukan nya mudah malah sulit. di kasih driver yg jauh jauh. gmn pake yg hemat
"jujur gk rekomen, pesen lama makanan lama, driver tukang lawan arah,"
"buruk bgt anjir buang2 waktu doang,,kecewa bgt udh lama pake grab malah di kecewain,pesen dr jam 10 lewat hrsnya jam 11 lebih udh kelar malah di ulur lagi jam 12 lebih! hargai waktu orang anjir"
harga murah
gk bisa verifikasi wajah .. aneh
apk g jelas
"UNINSTALL LAGI, VERIFIKASI NYA LAMBAT PAS MAU LOGIN, RIBET LAGI BURU BURU"
nyaman cepat.
baik
baik
ok bgus
stelah di upgrade malah ga ada pilihan kendaraan buat yg mau jalan lsg food aj bikin agak repot
ok
persahabatan
"Mudah, murah, mantap"
driver grabfood tidak profesional. barang tidak diambil 5 jam ke pedagangnya . padahal sudah disiapkan dan ditunggu oleh customer. 5 jam baru dibatalkan begitu saja oleh drivernya meskipun uang sudah kembali
sangat baik
makasih sangat membantu
"maaf, kasih bintang dua, klo cuaca hujan pada susah nyari drivernya 😀"
"tampilan aplikasi layanan berubah jadi susah, padahal sudah bagus tampilan yg terdahulu berupa kotak2 tinggal pilih"
nyaman
lgi urgent mlh susah dpt driver seklaainya dpt driver udh dkt mlh dri grabnya cancel nyari driver lgi mending dkt ini mah jauh dpt drivernya
karena susah sekali mendapat driver
grab kenapa sih kalau pas lagi hujan / habis hujan susah banget nunggu sampe setengah jam baru dapet itupun yg jauhhh🤦🏻‍♀️. apa iya nggak ada yg narik. tapi masak iya dari segitu banyak driver grab nggak ada yg nongol diaplikasi padahal kalau pas dijalan sering lihat driver grabnya. Mengecewakan!!
komunikatif
suka lama dapet grab kalo ujan.
grab parah parah parah massa nyari kendaraan di grab lama banget sampai 1 jam ga Dapet2... ga niat kali ya buat nyari nafkah 😈😈😈😈😈
taeelah giliran genting ga dapet drivernya
"susah didownload, kalo mau pesen jga lama dapetnya"
"kecewa sih. dapetnya yang jauh terus, tadi hampir telat masuk karna dapet nya yang jauh terus. kemarin juga pas pulang, saya nunggu hampir satu jam gara-gara ga dapet trus. udah di update bukannya tambah bagus malah tambah buruk, padahal dulu gak gini."
"parah ,grab bike udh berhari2 ga ada yg nyangkut,dan klo nyangkut udh mau dkt rmh tetiba d cancel pdhl udh mempet dan udh bnyk yg nolak mentang2 dana pelajar,butuh duit tp maunya gede,grabcar jg sama pake XL plus tp kursi belakang d lipat ,alasanya macetlah,ada barang lah....mending ga usah XL plus...."
mantap gan
"Aplikator otak tumpul, driver yg salah karena tidak mau langsung kirim pesanan ke konsumen gara2 masuk double order Grabfood diresto yg sama, malah restonya yang disalahin padahal udh klik ""Siap"" sebelum batas waktu penyelesaian selesai, kalo tim manajemen senior Grabfood berfikirnya udh stagnan separah itu diganti aja sama orang2 baru yg otaknya lebih fresh dan ngga malas berfikir supaya mitra ngga ada yg dirugikan sama aturan double order Grabfood yang pola teknisnya tidak fair utk mitra resto"
"gak jelasss, aplikasi ini terlalu gede iu nya kocak. jadi sering error, perbaiki deh"
baik nyaman cepat
ok
baik sekali
mantap boskuu
masa pesen makanan 11 rebu ongkir 59 rebu kocak banget dah dah lah gak recomended
g bisa dibuka
baik
good
sangat membantu
mantap
Nyaman Sekali
mempermudah hidup
banyak banget diskonnya lebih murah beli disini daripada di tempat
terbaik
Pengemudi Sangat Dispilin *****
"bagus,,, sayang nya gak bisa di pakai beli pulsa atau token listrik pakai ovolater 🙏🙏🙏"
sangat ramah
semenjak baru update ini malah pencariannya susah pas awal awal bingung dimana untuk pilihan motor makanan eh taunya pas klik searching diatas baru muncul kayak gini malah jadi ribet tolong dong dirubah seperti semula
agak sulit mendapatkan driver utk pick up penumpang dengan rute tertentu
mantap
membantu
good
"JELEK BGTT APLIKASINYA SEKARANG, SERING LAGG TANPA SEBAB!! PENYEBABNYA JELAS BUKAN DARI INTERNET SAYA, KARENA KALAU BUAT BUKA APLIKASI LAIN LANCAR AJA. NYEBELIN BGT APALAGI KALO LAGI BURU2, BIKIN MALES. MENDING APLIKASI SEBELAH AJA LEBIH SATSETT GAPERNAH ADA DRAMA NGELAGG."
mantap 👍
"Saya buka map dan order langsung malah kesasar, jadi saya harus order 2x"
mantap drivernya 👍
kendaraan baik dan jalur lancar.
sangat membantu
mantap
"tolong aplikasi beri kemudhn buat pembeli kalau mislkn pesanan g lengkap dapat solosi,jjur saya sdkit kecewa pernah beli tp pesnn g lengkp g ad respon penjual apalgi gnti rugi, hrusnya dr apliksi ad solosi"
"grab foodnya kureng banget, nyari drivernya bisa sejam lebih bahkan saya sering batalin pesanan, lebih di tingkatin lagi lah untuk driver di layanan grab food"
mantap
aplikasi lama merespon
nice
mantap
"saya gak akan rubah bintang, sampai permalasahan kena cancel dari driver nya hilang ya, hari ini udah kena cancel 2 kali, coba kalau cancelnya dari driver jangan di alihkan ke yg jauh, kecuali user yang cancel, kalau di kasihkan ke driver yang jauh selain tambah makan waktu, kemungkinan di cancel lagi juga lebih besar !!!! di perbaiki coba sistem nya"
keren
pembayaran make QRIS susah banget dapet drivernya sekalinya dapet ditolak.
Tepat Waktu
pesen makanan lama sekali dpt drivernya udh nontunaj juga tetep lamaaa ini gimana sihh kerjanya pesenan saya ga sampe sampeee
"Kok Apk nya suka Bohong,, katanya tepat waktu eh tiba"" d tambah 10 menit tanpa pemberitahuan. Hadehhhhhh"
